"UM_CODE";"UM_NAMEF";"UM_NAMES";"UM_TRANS";"UM_TYPE";"UM_TM";"UM_TE";"UM_KLADR";"global_id";
"008880";"1-й Ирининский переулок";"1-й Ирининский пер.";"Pervy'j Irininskij pereulok";"002";"";"0102";"77000000000706300";"58481065";
"008890";"2-й Ирининский переулок";"2-й Ирининский пер.";"Vtoroj Irininskij pereulok";"002";"";"0102";"77000000000362200";"58481066";
"008891";"3-й Ирининский переулок";"3-й Ирининский пер.";"Tretij Irininskij pereulok";"002";"";"0102";"77000000000362300";"58481067";
"008910";"Иркутская улица";"Иркутская ул.";"Irkutskaya ulicza";"001";"";"0406";"77000000000139700";"58481068";
"008920";"1-й Иртышский проезд";"1-й Иртышский пр.";"Pervy'j Irty'shskij proezd";"003";"";"0406";"77000000000331600";"58481069";
"008930";"2-й Иртышский проезд";"2-й Иртышский пр.";"Vtoroj Irty'shskij proezd";"003";"";"0406";"77000000000139800";"58481070";
"008935";"улица Исаковского";"ул. Исаковского";"ulicza Isakovskogo";"001";"";"0905";"77000000000139900";"58481071";
"008940";"улица Искры";"ул. Искры";"ulicza Iskry'";"001";"";"0303";"77000000000140000";"58481072";
"008950";"проезд Воскресенские Ворота";"пр. Воскресенские Ворота";"proezd Voskresenskie Vorota";"003";"";"0108";"77000000000702300";"58481073";
"008960";"Истринская улица";"Истринская ул.";"Istrinskaya ulicza";"001";"";"0807";"77000000000140200";"58481074";
"008970";"1-я Кабельная улица";"1-я Кабельная ул.";"Pervaya Kabel`naya ulicza";"001";"";"0507";"77000000000024300";"58481075";
"008980";"2-я Кабельная улица";"2-я Кабельная ул.";"Vtoraya Kabel`naya ulicza";"001";"";"0507";"77000000000024400";"58481076";
"008990";"3-я Кабельная улица";"3-я Кабельная ул.";"Tret`ya Kabel`naya ulicza";"001";"";"0507";"77000000000024500";"58481077";
"009000";"4-я Кабельная улица";"4-я Кабельная ул.";"Chetvyortaya Kabel`naya ulicza";"001";"";"0507";"77000000000024600";"58481078";
"009010";"5-я Кабельная улица";"5-я Кабельная ул.";"Pyataya Kabel`naya ulicza";"001";"";"0507";"77000000000024700";"58481079";
"009020";"1-й Кабельный проезд";"1-й Кабельный пр.";"Pervy'j Kabel`ny'j proezd";"003";"";"0507";"77000000000024800";"58481080";
"009030";"2-й Кабельный проезд";"2-й Кабельный пр.";"Vtoroj Kabel`ny'j proezd";"003";"";"0507";"77000000000024900";"58481081";
"009035";"площадь Амилкара Кабрала";"пл. Амилкара Кабрала";"ploshhad` Amilkara Kabrala";"004";"";"0404";"77000000000351800";"58481082";
"009040";"Кавказский бульвар";"Кавказский бульв.";"Kavkazskij bul`var";"008";"";"0618";"77000000000049100";"58481083";
"009050";"Кадашёвская набережная";"Кадашёвская наб.";"Kadashyovskaya naberezhnaya";"005";"";"0103;0110";"77000000000140400";"58481084";
"009060";"1-й Кадашёвский переулок";"1-й Кадашёвский пер.";"Pervy'j Kadashyovskij pereulok";"002";"";"0110";"77000000000140500";"58481085";
"009070";"2-й Кадашёвский переулок";"2-й Кадашёвский пер.";"Vtoroj Kadashyovskij pereulok";"002";"";"0110";"77000000000140600";"58481086";
"009071";"3-й Кадашёвский переулок";"3-й Кадашёвский пер.";"Tretij Kadashyovskij pereulok";"002";"";"0110";"77000000000140700";"58481087";
"009080";"Кадашёвский тупик";"Кадашёвский туп.";"Kadashyovskij tupik";"007";"";"0110";"77000000000140800";"58481088";
"009090";"проезд Кадомцева";"пр. Кадомцева";"proezd Kadomczeva";"003";"";"0312";"77000000000140900";"58481089";
"009095";"улица Кадырова";"ул. Кадырова";"ulicza Kady'rova";"001";"";"0711";"77000000000731000";"58481090";
"009100";"улица Казакова";"ул. Казакова";"ulicza Kazakova";"001";"";"0102";"77000000000141000";"58481091";
"009110";"Казанский переулок";"Казанский пер.";"Kazanskij pereulok";"002";"";"0110";"77000000000141100";"58481092";
"009120";"1-й Казанский просек";"1-й Казанский просек";"Pervy'j Kazanskij prosek";"014";"";"0513";"77000000000000600";"58481093";
"009121";"2-й Казанский просек";"2-й Казанский просек";"Vtoroj Kazanskij prosek";"014";"";"0513";"77000000000432300";"58481094";
"009140";"Казарменный переулок";"Казарменный пер.";"Kazarmenny'j pereulok";"002";"";"0102";"77000000000141200";"58481095";
"009150";"1-й Казачий переулок";"1-й Казачий пер.";"Pervy'j Kazachij pereulok";"002";"";"0110";"77000000000141300";"58481096";
