address,area
"город москва, 1-й балтийский переулок, дом 3/25",Северный административный округ
"город москва, 1-й басманный переулок, дом 3, строение 1",Центральный административный округ
"город москва, 1-й ботанический проезд, дом 2",Северо-Восточный административный округ
"город москва, 1-й вешняковский проезд, дом 2, строение 1",Юго-Восточный административный округ
"город москва, 1-й голутвинский переулок, дом 6",Центральный административный округ
"город москва, 1-й зачатьевский переулок, дом 4",Центральный административный округ
"город москва, 1-й кирпичный переулок, дом 4, строение 2",Восточный административный округ
"город москва, 1-й кожевнический переулок, дом 6, строение 1",Южный административный округ
"город москва, 1-й кожуховский проезд, дом 17",Южный административный округ
"город москва, 1-й коптельский переулок, дом 2/7, строение 1",Центральный административный округ
"город москва, 1-й котельнический переулок, дом 5, строение 2",Центральный административный округ
"город москва, 1-й краснокурсантский проезд, дом 1/4",Юго-Восточный административный округ
"город москва, 1-й курьяновский проезд, дом 14",Юго-Восточный административный округ
"город москва, 1-й лучевой просек, дом 1",Восточный административный округ
"город москва, 1-й люсиновский переулок, дом 3б",Центральный административный округ
"город москва, 1-й магистральный тупик, дом 10, корпус 1",Северный административный округ
"город москва, 1-й монетчиковский переулок, дом 5, строение 1",Центральный административный округ
"город москва, 1-й николощеповский переулок, дом 6, строение 2",Центральный административный округ
"город москва, 1-й новокузнецкий переулок, дом 5-7",Центральный административный округ
"город москва, 1-й обыденский переулок, дом 9/12",Центральный административный округ
"город москва, 1-й проезд марьиной рощи, дом 3а",Северо-Восточный административный округ
"город москва, 1-й рижский переулок, дом 6, строение 1",Северо-Восточный административный округ
"город москва, 1-й саратовский проезд, дом 5",Юго-Восточный административный округ
"город москва, 1-й сельскохозяйственный проезд, дом 2",Северо-Восточный административный округ
"город москва, 1-й сетуньский проезд, дом 10",Западный административный округ
"город москва, 1-й силикатный проезд, дом 13",Северо-Западный административный округ
"город москва, 1-й спасоналивковский переулок, дом 8, строение 2",Центральный административный округ
"город москва, 1-й тушинский проезд, дом 12",Северо-Западный административный округ
"город москва, 1-я аэропортовская улица, дом 1, строение 3",Северный административный округ
"город москва, 1-я боевская улица, дом 6",Восточный административный округ
"город москва, 1-я гражданская улица, дом 96",Восточный административный округ
"город москва, 1-я карачаровская улица, дом 8, строение 1",Юго-Восточный административный округ
"город москва, 1-я линия хорошёвского серебряного бора, домовладение 10, строение 1",Северо-Западный административный округ
"город москва, 1-я миусская улица, дом 4",Центральный административный округ
"город москва, 1-я напрудная улица, дом 13",Северо-Восточный административный округ
"город москва, 1-я пугачёвская улица, дом 25, строение 1",Восточный административный округ
"город москва, 1-я чоботовская аллея, дом 6-б",Западный административный округ
"город москва, 104-й километр московской кольцевой автодороги, дом 6",Восточный административный округ
"город москва, 11-я парковая улица, дом 50",Восточный административный округ
"город москва, 12-й проезд марьиной рощи, владение 9, строение 2",Северо-Восточный административный округ
"город москва, 14-я парковая улица, дом 4б",Восточный административный округ
"город москва, 17-й проезд марьиной рощи, дом 4",Северо-Восточный административный округ
"город москва, 2-й балтийский переулок, дом 3",Северный административный округ
"город москва, 2-й боткинский проезд, дом 5, корпус 28",Северный административный округ
"город москва, 2-й верхний михайловский проезд, дом 2",Южный административный округ
"город москва, 2-й вышеславцев переулок, дом 17",Северо-Восточный административный округ
"город москва, 2-й иртышский проезд, дом 6, строение 1",Восточный административный округ
"город москва, 2-й кабельный проезд, дом 1",Юго-Восточный административный округ
"город москва, 2-й кадашёвский переулок, дом 16, строение 1",Центральный административный округ
"город москва, 2-й колобовский переулок, дом 12",Центральный административный округ
"город москва, 2-й красносельский переулок, дом 18",Центральный административный округ
"город москва, 2-й курьяновский проезд, дом 2",Юго-Восточный административный округ
"город москва, 2-й лучевой просек, дом 2",Восточный административный округ
"город москва, 2-й магистральный тупик, дом 5а",Северный административный округ
"город москва, 2-й неопалимовский переулок, дом 3",Центральный административный округ
"город москва, 2-й новокузнецкий переулок, дом 13/15, строение 1",Центральный административный округ
"город москва, 2-й новоподмосковный переулок, дом 8",Северный административный округ
"город москва, 2-й обыденский переулок, дом 9",Центральный административный округ
"город москва, 2-й полевой переулок, дом 2",Восточный административный округ
"город москва, 2-й рощинский проезд, дом 8",Южный административный округ
"город москва, 2-й сельскохозяйственный проезд, дом 4, строение 1",Северо-Восточный административный округ
"город москва, 2-й сетуньский проезд, дом 9",Западный административный округ
"город москва, 2-й стрелецкий проезд, дом 7",Северо-Восточный административный округ
"город москва, 2-й хуторской переулок, дом 4/13",Северный административный округ
"город москва, 2-й щемиловский переулок, дом 4",Центральный административный округ
"город москва, 2-я гражданская улица, дом 8",Восточный административный округ
"город москва, 2-я дубровская улица, дом 3",Центральный административный округ
"город москва, 2-я квесисская улица, дом 23",Северный административный округ
"город москва, 2-я напрудная улица, дом 17",Северо-Восточный административный округ
"город москва, 2-я прядильная улица, дом 4",Восточный административный округ
"город москва, 2-я сокольническая улица, дом 3",Восточный административный округ
"город москва, 2-я улица бухвостова, дом 6",Восточный административный округ
"город москва, 2-я улица марьиной рощи, дом 22",Северо-Восточный административный округ
"город москва, 2-я улица энтузиастов, дом 5",Восточный административный округ
"город москва, 2-я филёвская улица, дом 13",Западный административный округ
"город москва, 2-я ямская улица, дом 4",Северо-Восточный административный округ
"город москва, 26-й километр московской кольцевой автодороги, владение 6",Южный административный округ
"город москва, 3-й дорожный проезд, дом 6а",Южный административный округ
"город москва, 3-й кадашёвский переулок, дом 2",Центральный административный округ
"город москва, 3-й кожуховский проезд, дом 3а",Юго-Восточный административный округ
"город москва, 3-й лихачёвский переулок, дом 2а",Северный административный округ
"город москва, 3-й лучевой просек, дом 4а",Восточный административный округ
"город москва, 3-й павловский переулок, дом 2",Южный административный округ
"город москва, 3-й проезд подбельского, дом 22, корпус 3",Восточный административный округ
"город москва, 3-й стрелецкий проезд, дом 3",Северо-Восточный административный округ
"город москва, 3-й угрешский проезд, дом 8, строение 2",Юго-Восточный административный округ
"город москва, 3-я железногорская улица, дом 11а",Юго-Западный административный округ
"город москва, 3-я новоостанкинская улица, дом 6",Северо-Восточный административный округ
"город москва, 3-я песчаная улица, дом 2",Северный административный округ
"город москва, 3-я подрезковская улица, дом 14, строение 2",Северный административный округ
"город москва, 3-я северная линия, дом 3",Северо-Восточный административный округ
"город москва, 3-я черепковская улица, дом 15а, строение 5",Западный административный округ
"город москва, 30-й километр московской кольцевой автодороги, владение 6",Южный административный округ
"город москва, 31-й километр московской кольцевой автодороги, владение 8, строение 1",Южный административный округ
"город москва, 34-й километр московской кольцевой автодороги, владение 6",Южный административный округ
"город москва, 38-й километр московской кольцевой автодороги, владение 6а, строение 1",Юго-Западный административный округ
"город москва, 4-й вешняковский проезд, дом 4, строение 1",Юго-Восточный административный округ
"город москва, 4-й вятский переулок, дом 10",Северный административный округ
"город москва, 4-й кожевнический переулок, дом 4",Южный административный округ
"город москва, 4-й рощинский проезд, дом 11",Южный административный округ
"город москва, 4-я гражданская улица, дом 43, корпус 2",Восточный административный округ
"город москва, 4-я кабельная улица, дом 2а, строение 1",Юго-Восточный административный округ
"город москва, 42-й километр московской кольцевой автодороги, владение 4, строение 1",Юго-Западный административный округ
"город москва, 5-й котельнический переулок, дом 8",Центральный административный округ
"город москва, 5-й монетчиковский переулок, дом 7",Центральный административный округ
"город москва, 5-й проезд марьиной рощи, дом 15а, строение 1",Северо-Восточный административный округ
"город москва, 5-й проезд подбельского, дом 2",Восточный административный округ
"город москва, 5-й рощинский проезд, дом 4",Южный административный округ
"город москва, 56-й километр московской кольцевой автодороги, дом 10",Западный административный округ
"город москва, 6-й лучевой просек, дом 6",Восточный административный округ
"город москва, 6-я кожуховская улица, дом 8",Юго-Восточный административный округ
"город москва, 6-я улица лазенки, дом 2, строение 2",Западный административный округ
"город москва, 6-я улица новые сады, дом 2",Западный административный округ
"город москва, 65-й километр московской кольцевой автодороги, владение 8",Северо-Западный административный округ
"город москва, 65-й километр московской кольцевой автодороги, владение 8",Северо-Западный административный округ
"город москва, 67-й километр московской кольцевой автодороги, дом 7",Северо-Западный административный округ
"город москва, 7-й ростовский переулок, дом 16",Центральный административный округ
"город москва, 7-я северная линия, дом 13",Северо-Восточный административный округ
"город москва, 7-я улица лазенки, дом 12, строение 2",Западный административный округ
"город москва, 78-й километр московской кольцевой автодороги, дом 14, корпус 1",Северный административный округ
"город москва, 8-й проезд марьиной рощи, дом 30, строение 1",Северо-Восточный административный округ
"город москва, 8-я улица соколиной горы, дом 5а",Восточный административный округ
"город москва, 80-й километр московской кольцевой автодороги, дом 4, строение 1",Северный административный округ
"город москва, авиационный переулок, дом 5",Северный административный округ
"город москва, автомобильный проезд, дом 6, строение 2",Юго-Восточный административный округ
"город москва, алымов переулок, дом 15",Восточный административный округ
"город москва, андреево-забелинская улица, дом 28",Восточный административный округ
"город москва, андроньевская площадь, дом 5/9",Центральный административный округ
"город москва, анненская улица, дом 25, строение 1",Северо-Восточный административный округ
"город москва, анненский проезд, дом 1, строение 1",Северо-Восточный административный округ
"город москва, армавирская улица, дом 4",Юго-Восточный административный округ
"город москва, архангельский переулок, дом 7, строение 1",Центральный административный округ
"город москва, астрадамский проезд, дом 5",Северный административный округ
"город москва, ащеулов переулок, дом 9",Центральный административный округ
"город москва, аэрофлотская улица, владение 2б",Западный административный округ
"город москва, бабаевская улица, дом 3",Восточный административный округ
"город москва, базовая улица, дом 2, корпус 1",Западный административный округ
"город москва, балтийская улица, дом 10, корпус 2",Северный административный округ
"город москва, банный проезд, дом 3, строение 1",Центральный административный округ
"город москва, барабанный переулок, дом 3",Восточный административный округ
"город москва, басовская улица, дом 16, строение 1",Юго-Восточный административный округ
"город москва, берниковская набережная, дом 12, строение 1",Центральный административный округ
"город москва, бескудниковский переулок, дом 4а",Северный административный округ
"город москва, бескудниковский проезд, дом 4а",Северный административный округ
"город москва, библиотечная улица, дом 29",Центральный административный округ
"город москва, богоявленский переулок, дом 6, строение 2",Центральный административный округ
"город москва, больничный переулок, дом 4",Центральный административный округ
"город москва, большая бутовская улица, дом 9",Юго-Западный административный округ
"город москва, большая внуковская улица, дом 2а, строение 9",Западный административный округ
"город москва, большая ширяевская улица, дом 11",Восточный административный округ
"город москва, большая юшуньская улица, дом 14",Юго-Западный административный округ
"город москва, большой афанасьевский переулок, дом 3, строение 3",Центральный административный округ
"город москва, большой знаменский переулок, дом 2, строение 26",Центральный административный округ
"город москва, большой казённый переулок, дом 9",Центральный административный округ
"город москва, большой кисельный переулок, дом 17/15, строение 1",Центральный административный округ
"город москва, большой николопесковский переулок, дом 5",Центральный административный округ
"город москва, большой полуярославский переулок, дом 7",Центральный административный округ
"город москва, большой предтеченский переулок, дом 15/8, строение 1",Центральный административный округ
"город москва, большой симоновский переулок, дом 2",Центральный административный округ
"город москва, большой строченовский переулок, дом 7",Центральный административный округ
"город москва, большой трёхсвятительский переулок, дом 4",Центральный административный округ
"город москва, боровая улица, дом 10, корпус 2",Юго-Восточный административный округ
"город москва, боровский проезд, дом 17а",Западный административный округ
"город москва, ботанический переулок, дом 5",Центральный административный округ
"город москва, бродников переулок, дом 10, корпус 2",Центральный административный округ
"город москва, брошевский переулок, дом 21",Центральный административный округ
"город москва, будайская улица, дом 3",Северо-Восточный административный округ
"город москва, будайский проезд, дом 8",Северо-Восточный административный округ
"город москва, бутиковский переулок, дом 7",Центральный административный округ
"город москва, вагоноремонтная улица, дом 15а",Северный административный округ
"город москва, варсонофьевский переулок, дом 6",Центральный административный округ
"город москва, вербная улица, дом 4, строение 1",Восточный административный округ
"город москва, верхний золоторожский переулок, дом 2",Юго-Восточный административный округ
"город москва, верхняя улица, дом 3, корпус 2",Северный административный округ
"город москва, винницкая улица, дом 1",Западный административный округ
"город москва, волоцкой переулок, дом 15, корпус 2",Северо-Западный административный округ
"город москва, воротниковский переулок, дом 11, строение 1",Центральный административный округ
"город москва, врачебный проезд, дом 12",Северо-Западный административный округ
"город москва, выползов переулок, дом 7, строение 2",Центральный административный округ
"город москва, высокая улица, дом 6",Южный административный округ
"город москва, вяземская улица, дом 7",Западный административный округ
"город москва, газгольдерная улица, дом 6",Юго-Восточный административный округ
"город москва, гаражная улица, дом 4",Восточный административный округ
"город москва, гвардейская улица, дом 15, корпус 1",Западный административный округ
"город москва, гжатская улица, дом 6",Западный административный округ
"город москва, гжельский переулок, дом 19, строение 2",Центральный административный округ
"город москва, глазовский переулок, дом 5",Центральный административный округ
"город москва, глебовская улица, дом 10",Восточный административный округ
"город москва, глинистый переулок, дом 7, строение 1",Центральный административный округ
"город москва, глинищевский переулок, дом 3",Центральный административный округ
"город москва, гольяновская улица, дом 7а, строение 1",Центральный административный округ
"город москва, гончарная набережная, дом 9/16, строение 3",Центральный административный округ
"город москва, городская улица, дом 8",Южный административный округ
"город москва, госпитальный переулок, дом 3",Центральный административный округ
"город москва, гранатный переулок, дом 7, строение 1",Центральный административный округ
"город москва, гродненская улица, дом 5",Западный административный округ
"город москва, дегтярный переулок, дом 6, строение 1",Центральный административный округ
"город москва, делегатская улица, дом 7, строение 1",Центральный административный округ
"город москва, денежный переулок, дом 20",Центральный административный округ
"город москва, дивизионная улица, дом 4",Западный административный округ
"город москва, дмитровский переулок, дом 3, строение 4",Центральный административный округ
"город москва, докучаев переулок, дом 6, строение 2",Центральный административный округ
"город москва, егорьевский проезд, дом 2, строение 5",Юго-Восточный административный округ
"город москва, елоховский проезд, дом 1, строение 5",Центральный административный округ
"город москва, есенинский бульвар, дом 14, корпус 2",Юго-Восточный административный округ
"город москва, живарев переулок, дом 8, строение 3",Центральный административный округ
"город москва, жигулёвская улица, дом 5, корпус 3",Юго-Восточный административный округ
"город москва, жуков проезд, дом 8, строение 3",Южный административный округ
"город москва, заводской проезд, дом 25",Восточный административный округ
"город москва, зарайская улица, дом 33, корпус 2",Юго-Восточный административный округ
"город москва, звонарский переулок, дом 5",Центральный административный округ
"город москва, зубарев переулок, дом 15, корпус 1",Северо-Восточный административный округ
"город москва, зюзинская улица, дом 3",Юго-Западный административный округ
"город москва, иваньковское шоссе, дом 5",Северо-Западный административный округ
"город москва, ижорский проезд, дом 17",Северный административный округ
"город москва, изваринская улица, дом 4, корпус 1",Западный административный округ
"город москва, известковый переулок, дом 1",Центральный административный округ
"город москва, измайловская площадь, дом 1а",Восточный административный округ
"город москва, икшинская улица, дом 12",Северный административный округ
"город москва, институтский переулок, дом 2",Северо-Восточный административный округ
"город москва, интернациональная улица, дом 10",Западный административный округ
"город москва, калибровская улица, дом 31, строение 1",Северо-Восточный административный округ
"город москва, калошин переулок, дом 4, строение 1",Центральный административный округ
"город москва, канатчиковский проезд, владение 5",Южный административный округ
"город москва, карельский бульвар, дом 20",Северный административный округ
"город москва, каскадная улица, домовладение 21, строение 1",Восточный административный округ
"город москва, кирпичная улица, дом 18",Восточный административный округ
"город москва, кожевнический проезд, дом 4/5, строение 5",Центральный административный округ
"город москва, козицкий переулок, дом 1а, строение 2",Центральный административный округ
"город москва, композиторская улица, дом 17",Центральный административный округ
"город москва, конаковский проезд, дом 5",Северный административный округ
"город москва, кондрашёвский тупик, дом 3а",Центральный административный округ
"город москва, кооперативная улица, дом 2, корпус 13",Центральный административный округ
"город москва, коптевский бульвар, дом 18а, строение 1",Северный административный округ
"город москва, костомаровская набережная, дом 29, строение 1",Центральный административный округ
"город москва, красногвардейский бульвар, дом 3, строение 1",Центральный административный округ
"город москва, красноказарменный проезд, дом 14а, корпус 19",Юго-Восточный административный округ
"город москва, кремлёвская набережная, дом 1, строение 2",Центральный административный округ
"город москва, кривоарбатский переулок, дом 16/22",Центральный административный округ
"город москва, кузьминская улица, дом 10, строение 2",Юго-Восточный административный округ
"город москва, кулаков переулок, дом 7",Северо-Восточный административный округ
"город москва, кунцевская улица, дом 10",Западный административный округ
"город москва, курганская улица, дом 4а",Восточный административный округ
"город москва, кучин переулок, дом 14, строение 1",Северо-Восточный административный округ
"город москва, ландышевая улица, дом 8",Северо-Западный административный округ
"город москва, лениногорская улица, дом 32, строение 1",Восточный административный округ
"город москва, лефортовский переулок, дом 8, строение 1",Центральный административный округ
"город москва, лечебная улица, дом 20",Восточный административный округ
"город москва, линейный проезд, дом 11",Северный административный округ
"город москва, лонгиновская улица, дом 6",Юго-Восточный административный округ
"город москва, лосевская улица, дом 9",Северо-Восточный административный округ
"город москва, лужнецкий проезд, дом 1",Центральный административный округ
"город москва, лыщиков переулок, дом 5, строение 1",Центральный административный округ
"город москва, магаданская улица, дом 9",Северо-Восточный административный округ
"город москва, мажоров переулок, дом 5",Восточный административный округ
"город москва, малая андроньевская улица, дом 20/8, строение 1-1а",Центральный административный округ
"город москва, малая переяславская улица, дом 6/8",Центральный административный округ
"город москва, малая тульская улица, дом 57",Южный административный округ
"город москва, малый власьевский переулок, дом 12, строение 2",Центральный административный округ
"город москва, малый златоустинский переулок, дом 3, строение 3",Центральный административный округ
"город москва, малый знаменский переулок, дом 7/10, строение 2",Центральный административный округ
"город москва, малый ивановский переулок, дом 4, строение 1",Центральный административный округ
"город москва, малый казённый переулок, дом 3",Центральный административный округ
"город москва, малый каретный переулок, дом 11, строение 2",Центральный административный округ
"город москва, малый конюшковский переулок, дом 2",Центральный административный округ
"город москва, малый коптевский проезд, дом 3",Северный административный округ
"город москва, малый лёвшинский переулок, дом 14/9, строение 1",Центральный административный округ
"город москва, малый николопесковский переулок, дом 9/1, строение 2",Центральный административный округ
