;район;улица
0;Академический;60-летия Октября пр-т
1;Академический;Большая Черёмушкинская ул.
2;Академический;Вавилова ул.
3;Академический;Винокурова ул.
4;Академический;Гримау ул.
5;Академический;Губкина ул.
6;Академический;Дмитрия Ульянова ул.
7;Академический;Ивана Бабушкина ул.
8;Академический;Иосипа Броз Тито пл.
9;Академический;Карьер ул.
10;Академический;Кедрова ул.
11;Академический;Кржижановского ул.
12;Академический;Львова ул.
13;Академический;Нахимовский пр-т
14;Академический;Новочерёмушкинская ул.
15;Академический;Профсоюзная ул.
16;Академический;Ферсмана ул.
17;Академический;Хо Ши Мина пл.
18;Академический;Черёмушкинский пр.
19;Академический;Шверника ул.
20;Алексеевский;1-й Рижский пер.
21;Алексеевский;1-я Мытищинская ул.
22;Алексеевский;2-я Мытищинская ул.
23;Алексеевский;3-я Мытищинская ул.
24;Алексеевский;Академика Люльки пл.
25;Алексеевский;Бориса Галушкина ул.
26;Алексеевский;Вокзальная ул.
27;Алексеевский;Графский пер.
28;Алексеевский;Дроболитейный пер.
29;Алексеевский;Зубарев пер.
30;Алексеевский;Касаткина ул.
31;Алексеевский;Кибальчича ул.
32;Алексеевский;Константинова ул.
33;Алексеевский;Космонавтов ул.
34;Алексеевский;Кулаков пер.
35;Алексеевский;Кучин пер.
36;Алексеевский;Маломосковская ул.
37;Алексеевский;Мира пр-т
38;Алексеевский;Мытищинский пр.
39;Алексеевский;Николаевский туп.
40;Алексеевский;Новоалексеевская ул.
41;Алексеевский;Павла Корчагина ул.
42;Алексеевский;Ракетный бул.
43;Алексеевский;Рижский пр.
44;Алексеевский;Староалексеевская ул.
45;Алексеевский;Церковная Горка ул.
46;Алексеевский;Шарля Де Голля пл.
47;Алексеевский;Ярославская ул.
48;Алтуфьевский;Алтуфьевское ш.
49;Алтуфьевский;Бегичева ул.
50;Алтуфьевский;Бибиревская ул.
51;Алтуфьевский;Инженерная ул.
52;Алтуфьевский;Костромская ул.
53;Алтуфьевский;Поморская ул.
54;Алтуфьевский;Поморский пр.
55;Алтуфьевский;Путевой пр.
56;Алтуфьевский;Стандартная ул.
57;Алтуфьевский;Черского пр.
58;Арбат;1-й Николощеповский пер.
59;Арбат;1-й Смоленский пер.
60;Арбат;2-й Николощеповский пер.
61;Арбат;2-й Смоленский пер.
62;Арбат;3-й Смоленский пер.
63;Арбат;Арбат ул.
64;Арбат;Арбатская пл.
65;Арбат;Арбатские Ворота пл.
66;Арбат;Арбатский пер.
67;Арбат;Большая Молчановка ул.
68;Арбат;Большая Никитская ул.
69;Арбат;Большой Афанасьевский пер.
70;Арбат;Большой Девятинский пер.
71;Арбат;Большой Знаменский пер.
72;Арбат;Большой Кисловский пер.
73;Арбат;Большой Николопесковский пер.
74;Арбат;Большой Ржевский пер.
75;Арбат;Борисоглебский пер.
76;Арбат;Воздвиженка ул.
77;Арбат;Глазовский пер.
78;Арбат;Гоголевский бул.
79;Арбат;Денежный пер.
80;Арбат;Знаменка ул.
81;Арбат;Калашный пер.
82;Арбат;Калошин пер.
83;Арбат;Каменная Слобода пер.
84;Арбат;Карманицкий пер.
85;Арбат;Колымажный пер.
86;Арбат;Композиторская ул.
87;Арбат;Конюшковская ул.
88;Арбат;Крестовоздвиженский пер.
89;Арбат;Кривоарбатский пер.
90;Арбат;Кривоникольский пер.
91;Арбат;Малая Молчановка ул.
92;Арбат;Малый Афанасьевский пер.
93;Арбат;Малый Каковинский пер.
94;Арбат;Малый Николопесковский пер.
95;Арбат;Малый Новопесковский пер.
96;Арбат;Малый Ржевский пер.
97;Арбат;Мерзляковский пер.
98;Арбат;Моховая ул.
99;Арбат;Нижний Кисловский пер.
100;Арбат;Никитский бул.
101;Арбат;Новинский бул.
102;Арбат;Новинский пер.
103;Арбат;Новый Арбат ул.
104;Арбат;Панфиловский пер.
105;Арбат;Плотников пер.
106;Арбат;Поварская ул.
107;Арбат;Проточный пер.
108;Арбат;Прямой пер.
109;Арбат;Романов пер.
110;Арбат;Серебряный пер.
111;Арбат;Сивцев Вражек пер.
112;Арбат;Скатертный пер.
113;Арбат;Смоленская ул.
114;Арбат;Смоленская пл.
